Experiment,Baseline Detections,Filtered Detections,Reduction (%),Retention Rate,Baseline FPS,Filtered FPS,Speed Impact (%),Filtering Overhead (ms)
Full Dataset (100 images),1051,580,44.8%,0.55,6.83,6.89,-0.74%,4.6ms
Quick Test (50 images),738,531,28.0%,0.72,5.60,5.60,-0.01%,5.2ms
